Beijing Roasted Fish,64,30,A whole fish that is roasted in a clay oven until it is flaky and flavorful.
Scallop with Black Truffle Sauce,64,50,Scallops that are seared and then sautéed in a black truffle sauce.
Peking Duck,65,35,A crispy juicy duck served with pancakes spring onions and hoisin sauce.
Scallop with Black Truffle Sauce,65,50,Scallops that are seared and then sautéed in a black truffle sauce.
Beijing Roasted Fish,65,30,A whole fish that is roasted in a clay oven until it is flaky and flavorful.
Stir-Fried Beef with Garlic Sauce,66,25,Thinly sliced beef that is stir-fried with garlic and vegetables.
Scallop with Black Truffle Sauce,66,50,Scallops that are seared and then sautéed in a black truffle sauce.
Beijing Roasted Fish,66,30,A whole fish that is roasted in a clay oven until it is flaky and flavorful.
Stir-Fried Chicken with Cashews,67,20,Chicken that is stir-fried with cashews and vegetables.
Scallop with Black Truffle Sauce,67,50,Scallops that are seared and then sautéed in a black truffle sauce.
Beijing Roasted Fish,67,30,A whole fish that is roasted in a clay oven until it is flaky and flavorful.
Stir-Fried Beef with Garlic Sauce,68,25,Thinly sliced beef that is stir-fried with garlic and vegetables.
Scallop with Black Truffle Sauce,68,50,Scallops that are seared and then sautéed in a black truffle sauce.
Beijing Roasted Fish,68,30,A whole fish that is roasted in a clay oven until it is flaky and flavorful.
Stir-Fried Chicken with Cashews,69,20,Chicken that is stir-fried with cashews and vegetables.
Scallop with Black Truffle Sauce,69,50,Scallops that are seared and then sautéed in a black truffle sauce.
Beijing Roasted Fish,69,30,A whole fish that is roasted in a clay oven until it is flaky and flavorful.
Stir-Fried Beef with Garlic Sauce,70,25,Thinly sliced beef that is stir-fried with garlic and vegetables.
Scallop with Black Truffle Sauce,70,50,Scallops that are seared and then sautéed in a black truffle sauce.
Beijing Roasted Fish,70,30,A whole fish that is roasted in a clay oven until it is flaky and flavorful.
Stir-Fried Chicken with Cashews,71,20,Chicken that is stir-fried with cashews and vegetables.
Scallop with Black Truffle Sauce,71,50,Scallops that are seared and then sautéed in a black truffle sauce.
Beijing Roasted Fish,71,30,A whole fish that is roasted in a clay oven until it is flaky and flavorful.
Chicken char siu bao,72,2.5,Steamed barbecued pork buns
Banana tart,72,2,Deep-fried pastry filled with banana and custard
Egg tarts,72,1.5,Portuguese egg tarts with flaky pastry and creamy custard filling
Beef brisket hot pot,73,25,A traditional Chinese hot pot dish made with beef brisket vegetables and broth
Shrimp hot pot,73,30,A hot pot dish made with shrimp vegetables and broth
Chicken hot pot,73,20,A hot pot dish made with chicken vegetables and broth
Mapo tofu,74,15,A spicy Sichuan dish made with tofu ground beef and chili peppers
Kung pao chicken,74,18,A stir-fry dish made with chicken peanuts vegetables and chili peppers
Dry pot chicken,74,20,A spicy Sichuan dish made with chicken vegetables and dry pot sauce
Dan dan noodles,75,10,A Sichuan noodle dish made with hand-pulled noodles chili oil and ground beef
Chongqing chicken,75,15,A spicy Sichuan dish made with chicken vegetables and chili peppers
Biang biang noodles,75,12,A wide hand-pulled noodle dish from Xi'an
Xiaolongbao,76,6,A steamed soup dumpling filled with pork and broth
Shengjianbao,76,5,A pan-fried soup dumpling filled with pork and broth
Jiaozi,76,4,A boiled or steamed dumpling filled with meat vegetables or both
Wuhan hot pot,77,25,A traditional Chinese hot pot dish made with beef vegetables and broth
Shrimp hot pot,77,30,A hot pot dish made with shrimp vegetables and broth
Chicken hot pot,77,20,A hot pot dish made with chicken vegetables and broth
Chuan cai,78,15,A Sichuan dish made with vegetables meat and chili peppers
Mapo tofu,78,15,A spicy Sichuan dish made with tofu ground beef and chili peppers
Kung pao chicken,78,18,A stir-fry dish made with chicken peanuts vegetables and chili peppers
Harbin Da Dong,79,25,A traditional Chinese hot pot dish made with lamb vegetables and broth
Shrimp hot pot,79,30,A hot pot dish made with shrimp vegetables and broth
Chicken hot pot,79,20,A hot pot dish made with chicken vegetables and broth
Harbin Ice Beer,80,2,A refreshing beer made with ice and snow from Harbin
Mantou,80,1,A steamed white bun that is often served with dumplings or other dishes
Pork Belly,80,3,A fatty and flavorful pork belly that is often roasted or braised
Naan,81,2,A large round flatbread that is often served with curries or other dishes
Tandoori Chicken,81,3,Chicken that is marinated in yogurt and spices and then cooked in a tandoor oven
Chicken Tikka Masala,81,4,Chicken that is cooked in a creamy tomato sauce with spices
Longjing Tea,82,2,A type of green tea that is grown in the Hangzhou area
Spring Rolls,82,1,A type of spring roll that is filled with vegetables and shrimp
Fried Dumplings,82,3,A type of dumpling that is filled with pork and vegetables and then fried
West Lake Fish,83,5,A type of fish that is caught in West Lake and then cooked in a variety of ways
Stir-Fried Fish with Vegetables,83,4,A dish of fish that is stir-fried with vegetables and spices
Steamed Fish with Soy Sauce,83,3,A dish of fish that is steamed with soy sauce and ginger
Xiaolongbao,84,2,A type of soup dumpling that is filled with pork and soup and then steamed
Pork Xiaolongbao,84,3,A type of xiaolongbao that is filled with pork
Vegetable Xiaolongbao,84,4,A type of xiaolongbao that is filled with vegetables
Coconut Milk with Sago,85,2,A sweet and refreshing drink made with coconut milk sago and pandan leaves.
Coconut Milk Jelly,85,3,A smooth and creamy jelly made with coconut milk agar-agar and sugar.
Coconut Milk Ice Cream,85,4,A delicious and refreshing ice cream made with coconut milk sugar and cream.
Shrimp with Oyster Sauce,86,10,Shrimp cooked in a savory sauce made with oyster sauce soy sauce ginger and garlic.
Scallops with Black Bean Sauce,86,12,Scallops cooked in a flavorful sauce made with black bean sauce soy sauce ginger and garlic.
Fried Fish with Sweet and Sour Sauce,86,8,Fish fillets fried and coated in a sweet and sour sauce.
Beef Hot Pot,87,15,A traditional Chinese hot pot dish made with beef vegetables and broth.
Seafood Hot Pot,87,20,A hot pot dish made with seafood vegetables and broth.
Vegetarian Hot Pot,87,10,A hot pot dish made with vegetables tofu and broth.
Handan Dumplings,88,5,Dumplings filled with pork chives and soy sauce.
Pork Dumplings,88,4,Dumplings filled with pork ginger and garlic.
Vegetable Dumplings,88,3,Dumplings filled with vegetables ginger and garlic.
Liangpi,89,2,A cold noodle dish made with wheat noodles vinegar sesame oil and chili peppers.
Cold Noodles with Sesame Sauce,89,3,A cold noodle dish made with wheat noodles sesame sauce and vegetables.
Cold Noodles with Peanut Sauce,89,4,A cold noodle dish made with wheat noodles peanut sauce and vegetables.
Braised Chicken,90,10,Chicken braised in a flavorful sauce made with soy sauce ginger and garlic.
Roasted Chicken,90,8,Chicken roasted in a flavorful sauce made with soy sauce ginger and garlic.
Fried Chicken,90,6,Chicken fried in a flavorful batter.
Sour Fish,91,15,A traditional Yunnan dish made with sour fish bamboo shoots and vegetables.
Chicken with Green Pepper,91,12,A flavorful dish of chicken and green peppers in a spicy sauce.
Beef with Broccoli,91,10,A healthy and hearty dish of beef and broccoli in a light sauce.
Crossing Bridge Rice Noodle,92,10,A famous Yunnan dish of rice noodles in a flavorful broth with meat vegetables and peanuts.
Fried Rice Noodle,92,8,A simple but delicious dish of fried rice noodles with vegetables and eggs.
Stir-Fried Rice Noodle,92,12,A flavorful dish of stir-fried rice noodles with meat vegetables and sauce.
Stone Pot Fish,93,20,A delicious and hearty dish of fish cooked in a hot stone pot with vegetables and spices.
Stone Pot Chicken,93,18,A flavorful dish of chicken cooked in a hot stone pot with vegetables and spices.
Stone Pot Beef,93,22,A hearty and satisfying dish of beef cooked in a hot stone pot with vegetables and spices.
Tangyuan,94,5,A traditional Chinese dessert made with glutinous rice flour and filled with sweet fillings.
Jiaozi,94,3,A traditional Chinese dumpling filled with meat or vegetables.
Wonton,94,4,A traditional Chinese dumpling filled with meat or vegetables.
Mutton Soup,95,10,A hearty and flavorful soup made with mutton vegetables and spices.
Lamb Soup,95,12,A delicious and satisfying soup made with lamb vegetables and spices.
Beef Soup,95,8,A hearty and nourishing soup made with beef vegetables and spices.
Shouxing Fish,96,25,A delicious and flavorful fish dish cooked in a special sauce.
Shouxing Chicken,96,20,A flavorful chicken dish cooked in a special sauce.
Shouxing Beef,96,22,A hearty and satisfying beef dish cooked in a special sauce.
Jianbing,97,5,A traditional Chinese savory crepe made with wheat flour vegetables and eggs.
Crispy Pancake,97,3,A crispy pancake made with wheat flour and vegetables.
Stir-Fried Noodles,97,4,A flavorful dish of stir-fried noodles with meat vegetables and sauce.
Baozi,98,2,A traditional Chinese steamed bun filled with meat or vegetables.
Mantou,98,1,A traditional Chinese steamed bun filled with nothing.
Youtiao,98,1,A traditional Chinese fried dough stick.
Handan Dumplings,99,2,Steamed dumplings filled with pork chives and ginger.
Pork Belly with Sticky Rice,99,4,Stir-fried pork belly with sticky rice and scallions.
Stir-Fried Fish with Bean Sprouts,99,3,Stir-fried fish with bean sprouts carrots and onions.
Niujie Rousi,100,5,Roast beef with cumin and coriander.
Beef Noodle Soup,100,6,Noodle soup with beef brisket and vegetables.
Stir-Fried Lamb with Green Beans,100,7,Stir-fried lamb with green beans onions and garlic.
Beef with Pickled Vegetables,101,10,Thin slices of beef in a spicy soup with pickled vegetables.
Spicy Fish Balls,101,8,Fish balls in a spicy soup with chili peppers and peanuts.
Tofu with Minced Pork,101,6,Tofu cubes in a spicy soup with minced pork and vegetables.
Crawfish in Spicy Sauce,102,15,Crawfish in a spicy sauce with chili peppers garlic and ginger.
Crawfish with Salt and Pepper,102,12,Crawfish with salt pepper and garlic.
Crawfish with Garlic Butter,102,10,Crawfish with garlic butter and parsley.
Jiaozi,103,5,Dumplings filled with meat and vegetables steamed or pan-fried
Tanghulu,103,3,Grilled skewers of candied fruit typically hawthorn berries
Mantou,103,2,Steamed buns made from white flour often served with soup or stew
Beijing Roast Duck,104,20,Duck that has been roasted in a wood-fired oven served with pancakes spring onions and hoisin sauce
Peking duck soup,104,10,Soup made from the bones and skin of a roasted duck served with noodles
Stir-fried green beans,104,5,Green beans stir-fried with garlic and soy sauce
Lamian,105,10,Hand-pulled noodles served in a variety of broths and sauces
Hand-pulled noodles with cumin lamb,105,15,Hand-pulled noodles served in a broth with cumin-spiced lamb
Hand-pulled noodles with vegetables,105,8,Hand-pulled noodles served in a broth with vegetables
Shrimp dumplings,106,12,Dumplings filled with shrimp water chestnuts and vegetables steamed or pan-fried
Scallion pancakes,106,6,Thin pancakes made from wheat flour and scallions often served with dipping sauce
Fried rice,106,8,Fried rice made with rice vegetables and meat or seafood
Shrimp Wonton Soup,107,6.99,A delicious soup with shrimp wontons egg dumplings and chives in a flavorful broth.
Fried Pork Dumplings,107,5.99,A classic Taiwanese dish of fried pork dumplings with a savory filling.
Beef Noodle Soup,107,9.99,A hearty soup with tender beef noodles and vegetables in a flavorful broth.
Pearl Milk Tea,108,4.99,A refreshing drink made with black tea milk and tapioca pearls.
Oolong Milk Tea,108,5.99,A flavorful drink made with oolong tea milk and tapioca pearls.
Green Milk Tea,108,6.99,A refreshing drink made with green tea milk and tapioca pearls.
Beef Hot Pot,109,29.99,A shared dish of thinly sliced beef vegetables and noodles cooked in a hot pot.
Shrimp Hot Pot,109,34.99,A shared dish of thinly sliced shrimp vegetables and noodles cooked in a hot pot.
Lamb Hot Pot,109,39.99,A shared dish of thinly sliced lamb vegetables and noodles cooked in a hot pot.
Jianbing,110,3.99,A savory Chinese pancake filled with egg scallions and other toppings.
Crispy Wontons,110,4.99,Crispy wontons filled with a savory filling.
Shrimp Fried Rice,110,6.99,Fried rice with shrimp eggs and vegetables.
Beef Noodles,111,7.99,Noodles with beef vegetables and a flavorful sauce.
Chicken Noodles,111,6.99,Noodles with chicken vegetables and a flavorful sauce.
Vegetable Noodles,111,5.99,Noodles with vegetables and a flavorful sauce.
Hand-Pulled Lanzhou Lamian,112,9.99,A type of Chinese hand-pulled noodle served in a flavorful broth.
Beef Lanzhou Lamian,112,11.99,A type of Chinese hand-pulled noodle served in a flavorful broth with beef.
Vegetable Lanzhou Lamian,112,10.99,A type of Chinese hand-pulled noodle served in a flavorful broth with vegetables.
Mapo Tofu,113,12.99,A classic Sichuan dish of tofu in a spicy sauce.
Kung Pao Chicken,113,14.99,A classic Sichuan dish of chicken in a spicy sauce.
Dry Pot Fish,113,16.99,A Sichuan dish of fish cooked in a dry pot with vegetables and spices.
Biang Biang Mian,114,10,Hand-pulled wide noodles in a spicy flavorful soup.
Pork Chops with Garlic Sauce,114,15,Thick-cut pork chops coated in a savory garlic sauce.
Stir-Fried Green Beans,114,8,Fresh green beans stir-fried with garlic and ginger.
Scallion Pancake,115,5,Thin pancakes made with scallions and served with a dipping sauce.
Wontons in Soup,115,10,Wontons in a flavorful broth with shrimp pork and vegetables.
Fried Rice,115,7,Stir-fried rice with vegetables and your choice of protein.
Noodles with Sesame Sauce,116,8,Noodles tossed in a sesame sauce with vegetables and your choice of protein.
Fried Dumplings,116,7,Dumplings filled with pork and vegetables fried to golden brown.
Wonton Soup,116,10,Wontons in a flavorful broth with shrimp pork and vegetables.
Stir-Fried Fish,117,15,Fresh fish stir-fried with vegetables and your choice of sauce.
Scallion Pancake,117,5,Thin pancakes made with scallions and served with a dipping sauce.
Fried Rice,117,7,Stir-fried rice with vegetables and your choice of protein.
Shrimp with Garlic Sauce,118,12,Shrimp coated in a savory garlic sauce.
Scallops with Lemon Butter Sauce,118,15,Scallops sautéed in a lemon butter sauce.
Fried Fish,118,15,Fresh fish fried to golden brown.
Stir-Fried Chicken with Cashews,119,12,Chicken stir-fried with cashews and vegetables in a savory sauce.
Stir-Fried Beef with Broccoli,119,15,Beef stir-fried with broccoli and vegetables in a savory sauce.
Fried rice,119,7,A simple but delicious Chinese dish of rice fried with eggs vegetables and sometimes meat.
Stir-Fried Shrimp with Snow Peas,120,15,Shrimp stir-fried with snow peas and vegetables in a savory sauce.
Wonton Soup,120,10,Wontons in a flavorful broth with shrimp pork and vegetables.
Fried Rice,120,7,Stir-fried rice with vegetables and your choice of protein.
Dagu,121,10,A whole fish steamed or poached in a flavorful broth.
Scallops with Lemon Butter Sauce,121,15,Scallops sautéed in a lemon butter sauce.
Fried Fish,121,15,Fresh fish fried to golden brown.
Xiao Long Bao,122,6,Steamed soup dumplings with pork filling
Fried Dumplings,122,5,Fried dumplings with pork filling
Boiled Wantan,122,4,Boiled dumplings with shrimp filling
Braised Pork Buns,123,5,Steamed buns filled with braised pork belly pickled vegetables and hoisin sauce.
Wonton Soup,123,7,Wontons in a flavorful chicken broth with vegetables.
Beef Noodle Soup,123,8,Noodles in a hearty beef broth with vegetables and thinly sliced beef.
Ceviche Mixto,124,10,A mix of ceviche of shrimp octopus and fish.
Ceviche de Camarones,124,8,Ceviche of shrimp.
Ceviche de Pulpo,124,9,Ceviche of octopus.
Picanha,125,20,A grilled picanha steak with chimichurri sauce.
Alitas de Pollo,125,15,Fried chicken wings with your choice of sauce.
Churrasco Mixto,125,25,A mix of grilled meats including picanha chicken and sausage.
Hamburguesa de la Casa,126,15,A juicy burger with your choice of toppings.
Patacones con Hogao,126,10,Fried plantains with a tomato and onion sauce.
Arepa con Queso,126,5,A corn pancake with cheese.
Bandeja Paisa,127,15,A traditional Colombian dish of rice beans meat eggs and plantains.
Ajiaco,127,12,A creamy chicken and potato soup.
Sancocho,127,10,A hearty beef and vegetable soup.
Picadillo,128,12,A ground beef stew with vegetables.
